Name,DD,TD
James Harden,64,22
Russell Westbrook,62,42
Karl-Anthony Towns,62,1
Hassan Whiteside,58,0
Rudy Gobert,58,0
Dwight Howard,53,0
John Wall,50,0
Anthony Davis,49,0
Andre Drummond,49,0
DeMarcus Cousins,46,2
LeBron James,42,13
Kevin Love,41,0
DeAndre Jordan,41,0
Nikola Jokic,39,6
Nikola Vucevic,38,0
Marcin Gortat,36,0
Giannis Antetokounmpo,32,3
Jonas Valanciunas,29,0
Ricky Rubio,25,1
Chris Paul,24,1
Kevin Durant,23,1
Zach Randolph,20,0
Blake Griffin,19,1
Paul Millsap,19,0
Mason Plumlee,19,0
Tristan Thompson,19,0
LaMarcus Aldridge,18,0
Enes Kanter,18,0
Julius Randle,18,3
Elfrid Payton,18,5
Draymond Green,17,5
Jrue Holiday,16,0
Jeff Teague,16,0
Steven Adams,16,0
Trevor Booker,16,0
Jimmy Butler,15,2
Nicolas Batum,15,1
Myles Turner,15,0
Clint Capela,15,0
Alan Williams,15,0
Greg Monroe,13,0
Jusuf Nurkic,13,0
Gorgui Dieng,13,0
Kristaps Porzingis,12,0
Otto Porter,12,0
Robert Covington,12,0
Tyson Chandler,12,0
Damian Lillard,11,0
Paul George,11,0
Kyle Lowry,11,1
Marc Gasol,11,2
Serge Ibaka,11,0
Pau Gasol,11,0
Marvin Williams,11,0
Taj Gibson,11,0
Kenneth Faried,11,0
Michael Kidd-Gilchrist,11,0
Willy Hernangomez,11,0
Alex Len,11,0
Dennis Schroder,10,0
Avery Bradley,10,0
Ersan Ilyasova,10,0
Dario Saric,10,0
JaMychal Green,10,0
Bismack Biyombo,10,0
Kawhi Leonard,9,0
Stephen Curry,9,0
Joel Embiid,9,0
Wilson Chandler,9,0
Markieff Morris,9,0
Kyrie Irving,8,0
Kemba Walker,8,0
Mike Conley,8,0
Dirk Nowitzki,8,0
Al Horford,8,0
Nikola Mirotic,8,0
Robin Lopez,8,0
Rondae Hollis-Jefferson,8,0
Willie Cauley-Stein,8,0
Carmelo Anthony,7,0
Eric Bledsoe,7,1
Jae Crowder,7,0
Aaron Gordon,7,0
Thaddeus Young,7,0
David Lee,7,0
Tim Frazier,7,1
Larry Nance Jr,7,0
Goran Dragic,6,0
Terrence Jones,6,0
Cody Zeller,6,0
Patrick Beverley,6,0
Derrick Favors,6,0
Rajon Rondo,6,1
Tyler Ulis,6,0
Kyle O'Quinn,6,0
Dewayne Dedmon,6,0
Isaiah Thomas,5,0
DeMar DeRozan,5,0
TJ Warren,5,0
Marcus Morris,5,0
Richaun Holmes,5,0
Tony Allen,5,0
Luol Deng,5,0
TJ McConnell,5,0
Bobby Portis,5,0
Boban Marjanovic,5,0
Joakim Noah,5,0
Rudy Gay,4,0
Danilo Gallinari,4,0
Reggie Jackson,4,0
Darren Collison,4,0
Sean Kilpatrick,4,0
James Johnson,4,0
Frank Kaminsky,4,0
Jameer Nelson,4,0
Al-Farouq Aminu,4,0
Marreese Speights,4,0
Ivica Zubac,4,0
Matt Barnes,4,0
Kosta Koufos,4,0
Zaza Pachulia,4,0
Willie Reed,4,0
Noah Vonleh,4,0
Tobias Harris,3,0
Victor Oladipo,3,0
Jeremy Lin,3,0
Trevor Ariza,3,0
Deron Williams,3,0
Jon Leuer,3,0
Ty Lawson,3,1
Ish Smith,3,0
Marquese Chriss,3,0
Montrezl Harrell,3,0
Nerlens Noel,3,0
Brandon Jennings,3,0
PJ Tucker,3,0
Spencer Hawes,3,0
Nemanja Bjelica,3,0
Glenn Robinson,3,0
Cheick Diallo,3,0
Cristiano Felicio,3,0
Ed Davis,3,0
Gordon Hayward,2,0
Brook Lopez,2,0
Jabari Parker,2,0
Dwyane Wade,2,0
Derrick Rose,2,0
Dion Waiters,2,0
D'Angelo Russell,2,0
Will Barton,2,0
Ryan Anderson,2,0
Jahlil Okafor,2,0
Marcus Smart,2,0
Malcolm Brogdon,2,1
Maurice Harkless,2,0
Channing Frye,2,0
Kelly Olynyk,2,0
Evan Turner,2,0
DeMarre Carroll,2,0
Skal Labissiere,2,0
Dwight Powell,2,0
Andre Roberson,2,0
Domantas Sabonis,2,0
Tarik Black,2,0
Georgios Papagiannis,2,0
Aron Baynes,2,0
Lavoy Allen,2,0
Andrew Wiggins,1,0
Bradley Beal,1,0
CJ McCollum,1,0
Harrison Barnes,1,0
Evan Fournier,1,0
Kentavious Caldwell-Pope,1,0
Seth Curry,1,0
Kent Bazemore,1,0
Emmanuel Mudiay,1,0
Justise Winslow,1,0
Marco Belinelli,1,0
Shabazz Muhammad,1,0
Jamal Murray,1,0
Jeremy Lamb,1,0
Patty Mills,1,0
Michael Beasley,1,0
Cory Joseph,1,0
Jeff Green,1,0
Doug McDermott,1,0
Tony Snell,1,0
Shawn Long,1,0
Al Jefferson,1,0
Sergio Rodriguez,1,0
Isaiah Whitehead,1,0
Timofey Mozgov,1,0
Anthony Tolliver,1,0
Justin Hamilton,1,0
Patrick Patterson,1,0
James Ennis,1,0
Kelly Oubre,1,0
Trey Lyles,1,0
Lance Thomas,1,0
Jerian Grant,1,0
Richard Jefferson,1,0
Terry Rozier,1,0
Meyers Leonard,1,0
Alexis Ajinca,1,0
Luis Scola,1,0
Denzel Valentine,1,0
Thomas Robinson,1,0
Juan Hernangomez,1,0
Roy Hibbert,1,0
Jarell Martin,1,0
Kris Dunn,1,0
Tyler Zeller,1,0
Dragan Bender,1,0
Henry Ellenson,1,0
Maurice Ndour,1,0
Salah Mejri,1,0
Omer Asik,1,0
Tomas Satoransky,1,0
Marshall Plumlee,1,0
Cole Aldrich,1,0
Klay Thompson,0,0
Devin Booker,0,0
Zach LaVine,0,0
Lou Williams,0,0
George Hill,0,0
Eric Gordon,0,0
JJ Redick,0,0
Gary Harris,0,0
Jordan Clarkson,0,0
Khris Middleton,0,0
Tim Hardaway,0,0
Jordan Crawford,0,0
Bojan Bogdanovic,0,0
Tyler Johnson,0,0
Wesley Matthews,0,0
Nick Young,0,0
Rodney Hood,0,0
Jamal Crawford,0,0
Austin Rivers,0,0
Brandon Knight,0,0
Jerryd Bayless,0,0
Terrence Ross,0,0
J.J. Barea,0,0
Courtney Lee,0,0
CJ Miles,0,0
Allen Crabbe,0,0
Alex Poythress,0,0
Buddy Hield,0,0
Wayne Ellington,0,0
Tyreke Evans,0,0
Josh Richardson,0,0
Tony Parker,0,0
Kyle Korver,0,0
Yogi Ferrell,0,0
E'Twaun Moore,0,0
Nik Stauskas,0,0
Brandon Ingram,0,0
Gerald Henderson,0,0
Joe Johnson,0,0
Nene Hilario,0,0
Jodie Meeks,0,0
Dahntay Jones,0,0
JR Smith,0,0
Monta Ellis,0,0
Arron Afflalo,0,0
Norman Powell,0,0
Joe Harris,0,0
Troy Daniels,0,0
Caris LeVert,0,0
Ben McLemore,0,0
Vince Carter,0,0
Langston Galloway,0,0
D.J. Augustin,0,0
Shelvin Mack,0,0
Garrett Temple,0,0
Justin Holiday,0,0
Matthew Dellavedova,0,0
Andre Iguodala,0,0
Manu Ginobili,0,0
Iman Shumpert,0,0
Archie Goodwin,0,0
Spencer Dinwiddie,0,0
Danny Green,0,0
Rodney Stuckey,0,0
Thabo Sefolosha,0,0
Justin Anderson,0,0
Joe Ingles,0,0
Solomon Hill,0,0
Josh Huestis,0,0
Ian Clark,0,0
Jared Dudley,0,0
Lance Stephenson,0,0
John Henson,0,0
Brandan Wright,0,0
Alec Burks,0,0
Raymond Felton,0,0
Devin Harris,0,0
Marcus Thornton,0,0
Jaylen Brown,0,0
Michael Carter-Williams,0,0
Dante Cunningham,0,0
Sam Dekker,0,0
Amir Johnson,0,0
Timothe Luwawu-Cabarrot,0,0
Mirza Teletovic,0,0
Darrell Arthur,0,0
Rodney McGruder,0,0
Leandro Barbosa,0,0
Mindaugas Kuzminskas,0,0
Dante Exum,0,0
Ramon Sessions,0,0
Jonathan Gibson,0,0
Mike Muscala,0,0
Jonathon Simmons,0,0
Chandler Parsons,0,0
Troy Williams,0,0
JaVale McGee,0,0
Derrick Williams,0,0
Luc Mbah a Moute,0,0
Jordan Farmar,0,0
David Nwaba,0,0
Alex Abrines,0,0
Andrew Harrison,0,0
Quincy Acy,0,0
Beno Udrih,0,0
Taurean Prince,0,0
Jason Smith,0,0
Quinn Cook,0,0
Brandon Bass,0,0
Ian Mahinmi,0,0
Gerald Green,0,0
Delon Wright,0,0
Anthony Morrow,0,0
Jerami Grant,0,0
Paul Zipser,0,0
Joffrey Lauvergne,0,0
Malcolm Delaney,0,0
Chasson Randle,0,0
Derrick Jones,0,0
Mike Dunleavy,0,0
Randy Foye,0,0
Omri Casspi,0,0
Cameron Payne,0,0
Hollis Thompson,0,0
Shaun Livingston,0,0
Wayne Selden,0,0
Trey Burke,0,0
Anthony Bennett,0,0
Aaron Brooks,0,0
Mario Hezonja,0,0
Tiago Splitter,0,0
Toney Douglas,0,0
Josh McRoberts,0,0
Jarell Eddie,0,0
Luke Babbitt,0,0
Kevin Seraphin,0,0
David West,0,0
Isaiah Canaan,0,0
Boris Diaw,0,0
Kris Humphries,0,0
Reggie Bullock,0,0
CJ Watson,0,0
Corey Brewer,0,0
Davis Bertans,0,0
