name,salary
LeBron James,"$30,963,450"
Mike Conley,"$26,540,100"
DeMar DeRozan,"$26,540,100"
Kevin Durant,"$26,540,100"
Russell Westbrook,"$26,540,100"
James Harden,"$26,540,100"
Al Horford,"$26,540,100"
Dirk Nowitzki,"$25,000,000"
Carmelo Anthony,"$24,559,380"
Damian Lillard,"$24,328,425"
Chris Bosh,"$23,741,060"
Dwyane Wade,"$23,200,000"
Chris Paul,"$23,199,328"
Dwight Howard,"$23,180,275"
Chandler Parsons,"$22,116,750"
Hassan Whiteside,"$22,116,750"
Harrison Barnes,"$22,116,750"
Anthony Davis,"$22,116,750"
Bradley Beal,"$22,116,750"
Andre Drummond,"$22,116,750"
Derrick Rose,"$21,323,252"
Marc Gasol,"$21,165,675"
Kevin Love,"$21,165,675"
Brook Lopez,"$21,165,675"
DeAndre Jordan,"$21,165,675"
Nicolas Batum,"$20,869,565"
LaMarcus Aldridge,"$20,575,005"
Blake Griffin,"$20,140,838"
Paul Millsap,"$20,072,033"
Ryan Anderson,"$18,735,363"
Allen Crabbe,"$18,500,000"
Paul George,"$18,314,532"
Jimmy Butler,"$18,156,361"
Luol Deng,"$18,000,000"
Kyrie Irving,"$17,638,063"
Kawhi Leonard,"$17,638,063"
Tobias Harris,"$17,200,000"
Greg Monroe,"$17,145,838"
Wesley Matthews,"$17,145,838"
Enes Kanter,"$17,145,838"
Joakim Noah,"$17,000,000"
Bismack Biyombo,"$17,000,000"
Evan Fournier,"$17,000,000"
DeMarcus Cousins,"$16,957,900"
John Wall,"$16,957,900"
Klay Thompson,"$16,663,575"
Evan Turner,"$16,393,443"
Gordon Hayward,"$16,073,140"
Timofey Mozgov,"$16,000,000"
Ian Mahinmi,"$15,944,154"
Goran Dragic,"$15,891,725"
Kent Bazemore,"$15,730,338"
Pau Gasol,"$15,500,000"
Tristan Thompson,"$15,330,435"
Draymond Green,"$15,330,435"
Khris Middleton,"$15,200,000"
Danilo Gallinari,"$15,050,000"
Jeff Green,"$15,000,000"
Reggie Jackson,"$14,956,522"
Tony Parker,"$14,445,313"
Jonas Valanciunas,"$14,382,022"
DeMarre Carroll,"$14,200,000"
Thaddeus Young,"$14,153,652"
Rajon Rondo,"$14,000,000"
Manu Ginobili,"$14,000,000"
Eric Bledsoe,"$14,000,000"
Ricky Rubio,"$13,575,000"
Rudy Gay,"$13,333,333"
Jamal Crawford,"$13,253,012"
Robin Lopez,"$13,219,250"
Michael Kidd-Gilchrist,"$13,000,000"
J.R. Smith,"$12,800,000"
Brandon Knight,"$12,606,250"
Arron Afflalo,"$12,500,000"
Jordan Clarkson,"$12,500,000"
Miles Plumlee,"$12,500,000"
Tyson Chandler,"$12,415,000"
Eric Gordon,"$12,385,364"
John Henson,"$12,267,606"
Serge Ibaka,"$12,250,000"
Marvin Williams,"$12,250,000"
Stephen Curry,"$12,112,359"
Kenneth Faried,"$12,078,652"
Kyle Lowry,"$12,000,000"
Marcin Gortat,"$12,000,000"
Amir Johnson,"$12,000,000"
Kemba Walker,"$12,000,000"
Nikola Vucevic,"$11,750,000"
Jeremy Lin,"$11,483,254"
Jrue Holiday,"$11,286,518"
Courtney Lee,"$11,242,000"
Solomon Hill,"$11,241,218"
Wilson Chandler,"$11,233,146"
Andre Iguodala,"$11,131,368"
Derrick Favors,"$11,050,000"
Joe Johnson,"$11,000,000"
Austin Rivers,"$11,000,000"
Jon Leuer,"$10,991,957"
Monta Ellis,"$10,763,500"
Tyreke Evans,"$10,661,286"
