Index,Name,Position,Age,Team,GP,GS,MIN,FG,FGA,FG_PCT,FT,FTA,FT_PCT,OREB,DREB,TOTREB,AST,STL,BLK,TO,PF,PTS
1,Alex Abrines,SG,23,OKC,68,6,15.5,2.0,5.0,.393,0.6,0.7,.898,0.3,1.0,1.3,0.6,0.5,0.1,0.5,1.7,6.0
2,Quincy Acy,PF,26,TOT,38,1,14.7,1.8,4.5,.412,1.2,1.6,.750,0.5,2.5,3.0,0.5,0.4,0.4,0.6,1.8,5.8
3,Steven Adams,C,23,OKC,80,80,29.9,4.7,8.2,.571,2.0,3.2,.611,3.5,4.2,7.7,1.1,1.1,1.0,1.8,2.4,11.3
4,Arron Afflalo,SG,31,SAC,61,45,25.9,3.0,6.9,.440,1.4,1.5,.892,0.1,1.9,2.0,1.3,0.3,0.1,0.7,1.7,8.4
5,Alexis Ajinca,C,28,NOP,39,15,15.0,2.3,4.6,.500,0.7,1.0,.725,1.2,3.4,4.5,0.3,0.5,0.6,0.8,2.0,5.3
6,Cole Aldrich,C,28,MIN,62,0,8.6,0.7,1.4,.523,0.2,0.4,.682,0.8,1.7,2.5,0.4,0.4,0.4,0.3,1.4,1.7
7,LaMarcus Aldridge,PF,31,SAS,72,72,32.4,6.9,14.6,.477,3.1,3.8,.812,2.4,4.9,7.3,1.9,0.6,1.2,1.4,2.2,17.3
8,Lavoy Allen,PF,27,IND,61,5,14.3,1.3,2.8,.458,0.4,0.5,.697,1.7,1.9,3.6,0.9,0.3,0.4,0.5,1.3,2.9
9,Tony Allen,SG,35,MEM,71,66,27.0,3.9,8.4,.461,1.1,1.8,.615,2.3,3.2,5.5,1.4,1.6,0.4,1.4,2.5,9.1
10,Al-Farouq Aminu,SF,26,POR,61,25,29.1,3.0,7.6,.393,1.6,2.2,.706,1.3,6.1,7.4,1.6,1.0,0.7,1.5,1.7,8.7
11,Chris Andersen,C,38,CLE,12,0,9.5,0.8,1.8,.409,0.8,1.2,.714,0.8,1.8,2.6,0.4,0.4,0.6,0.4,1.7,2.3
12,Alan Anderson,SF,34,LAC,30,0,10.3,1.0,2.7,.375,0.4,0.5,.750,0.1,0.7,0.8,0.4,0.1,0.0,0.2,1.2,2.9
13,Justin Anderson,SF,23,TOT,75,10,16.4,2.5,5.9,.424,1.4,1.7,.791,0.9,2.3,3.3,0.9,0.5,0.3,0.9,1.5,7.1
14,Kyle Anderson,SG,23,SAS,72,14,14.2,1.3,2.9,.445,0.6,0.8,.789,0.5,2.4,2.9,1.3,0.7,0.4,0.5,0.9,3.4
15,Ryan Anderson,PF,28,HOU,72,72,29.4,4.5,10.7,.418,1.8,2.1,.860,1.6,3.0,4.6,0.9,0.4,0.2,0.8,2.0,13.6
16,Giannis Antetokounmpo,SF,22,MIL,80,80,35.6,8.2,15.7,.521,5.9,7.7,.770,1.8,7.0,8.8,5.4,1.6,1.9,2.9,3.1,22.9
17,Carmelo Anthony,SF,32,NYK,74,74,34.3,8.1,18.8,.433,4.1,4.9,.833,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.7,22.4
18,Joel Anthony,C,34,SAS,19,0,6.4,0.5,0.8,.625,0.3,0.4,.625,0.4,1.2,1.6,0.2,0.1,0.3,0.2,0.6,1.3
19,Trevor Ariza,SF,31,HOU,80,80,34.7,4.1,10.0,.409,1.2,1.6,.738,0.7,5.1,5.7,2.2,1.8,0.3,0.9,1.7,11.7
20,Darrell Arthur,PF,28,DEN,41,7,15.6,2.3,5.2,.442,0.5,0.5,.864,0.6,2.1,2.7,1.0,0.5,0.5,0.9,1.9,6.4
21,Omer Asik,C,30,NOP,31,19,15.5,1.0,2.1,.477,0.7,1.3,.590,1.5,3.7,5.3,0.5,0.2,0.3,0.5,1.6,2.7
22,D.J. Augustin,PG,29,ORL,78,20,19.7,2.5,6.6,.377,1.7,2.1,.814,0.2,1.3,1.5,2.7,0.4,0.0,1.2,1.3,7.9
23,Luke Babbitt,SF,27,MIA,68,55,15.7,1.7,4.1,.402,0.2,0.2,.733,0.2,1.9,2.1,0.5,0.3,0.2,0.4,1.7,4.8
24,Ron Baker,SG,23,NYK,52,13,16.5,1.6,4.2,.378,0.5,0.8,.651,0.2,1.7,1.9,2.1,0.7,0.2,1.1,1.4,4.1
25,Wade Baldwin,PG,20,MEM,33,1,12.3,1.1,3.5,.313,0.9,1.1,.838,0.3,1.1,1.4,1.8,0.5,0.2,1.2,1.2,3.2
26,Leandro Barbosa,SG,34,PHX,67,0,14.4,2.6,5.9,.439,0.6,0.7,.889,0.2,1.3,1.6,1.2,0.5,0.1,0.7,1.2,6.3
27,J.J. Barea,PG,32,DAL,35,6,22.0,4.1,9.8,.414,1.3,1.5,.863,0.3,2.1,2.4,5.5,0.4,0.0,1.8,0.9,10.9
28,Harrison Barnes,PF,24,DAL,79,79,35.5,7.6,16.2,.468,3.1,3.6,.861,1.2,3.8,5.0,1.5,0.8,0.2,1.3,1.6,19.2
